---------- processing video for epoch 6 ----------
performing inference...
pred: 0.65 deg. took: 62.85 ms | cam=2.03 prep=3.02 pred=57.79 frequency(45)=1200002000
 
pred: 0.68 deg. took: 62.24 ms | cam=2.01 prep=3.02 pred=57.20 frequency(45)=1200002000
 
pred: 0.74 deg. took: 62.58 ms | cam=2.01 prep=3.14 pred=57.42 frequency(45)=1200000000
 
pred: 0.52 deg. took: 62.71 ms | cam=2.06 prep=3.12 pred=57.53 frequency(45)=1200002000
 
pred: 0.58 deg. took: 62.68 ms | cam=2.04 prep=3.06 pred=57.58 frequency(45)=1200000000
 
pred: 0.10 deg. took: 62.46 ms | cam=2.00 prep=3.02 pred=57.44 frequency(45)=1200002000
 
pred: 0.35 deg. took: 62.36 ms | cam=1.99 prep=3.07 pred=57.30 frequency(45)=1200000000
 
pred: 0.18 deg. took: 62.47 ms | cam=2.00 prep=3.01 pred=57.46 frequency(45)=1200000000
 
pred: 0.86 deg. took: 62.77 ms | cam=1.96 prep=3.14 pred=57.67 frequency(45)=1200000000
 
pred: 0.84 deg. took: 62.53 ms | cam=2.09 prep=3.11 pred=57.32 frequency(45)=1200002000
 
pred: 0.77 deg. took: 62.64 ms | cam=2.10 prep=3.06 pred=57.48 frequency(45)=1199998000
 
pred: 0.04 deg. took: 62.48 ms | cam=2.07 prep=3.02 pred=57.40 frequency(45)=1200000000
 
pred: 0.49 deg. took: 63.00 ms | cam=2.04 prep=3.06 pred=57.90 frequency(45)=1200000000
 
pred: 0.87 deg. took: 62.51 ms | cam=2.12 prep=3.01 pred=57.37 frequency(45)=1200000000
 
pred: 0.76 deg. took: 62.94 ms | cam=1.98 prep=3.14 pred=57.81 frequency(45)=1200000000
 
pred: 0.92 deg. took: 62.81 ms | cam=2.10 prep=3.02 pred=57.69 frequency(45)=1200000000
 
pred: 1.23 deg. took: 63.01 ms | cam=2.07 prep=3.06 pred=57.88 frequency(45)=1200000000
 
pred: 1.42 deg. took: 62.56 ms | cam=2.04 prep=3.04 pred=57.48 frequency(45)=1200000000
 
